step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,6.51641,0.137299,0.407654,1.5e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
100,,,,,,3.80473,2.65149,1.15324,0.333543,0.565994
200,3.47555,0.405761,0.552279,3e-05,2,,,,,
200,,,,,,3.22287,2.16063,1.06223,0.513739,0.581884
300,3.15515,0.545849,0.570529,4.5e-05,2,,,,,
300,,,,,,2.50331,1.47989,1.02342,0.801715,0.590377
400,2.48978,0.787156,0.601153,6e-05,3,,,,,
400,,,,,,2.3998,1.38917,1.01063,0.810797,0.614556
500,2.35176,0.814275,0.629506,7.5e-05,4,,,,,
500,,,,,,2.26816,1.34237,0.925791,0.81525,0.654891
600,2.29944,0.807791,0.644564,9e-05,4,,,,,
600,,,,,,2.23999,1.31412,0.925878,0.81683,0.648885
700,2.24474,0.812282,0.65575,0.000105,5,,,,,
700,,,,,,2.19018,1.31651,0.873677,0.818585,0.677532
800,2.2301,0.822128,0.649153,0.00012,6,,,,,
800,,,,,,2.1579,1.29338,0.864524,0.818287,0.678374
900,2.18557,0.817322,0.66946,0.000135,6,,,,,
900,,,,,,2.13642,1.28688,0.849535,0.821102,0.68426
1000,2.16713,0.823803,0.673007,0.00015,7,,,,,
1000,,,,,,2.14266,1.28028,0.862389,0.823068,0.679866
1100,2.14518,0.819926,0.679495,0.000165,7,,,,,
1100,,,,,,2.10435,1.27907,0.82528,0.823815,0.690407
1200,2.13256,0.82126,0.682723,0.00018,8,,,,,
1200,,,,,,2.09408,1.27283,0.821258,0.825514,0.691759
1300,2.1392,0.828159,0.675287,0.000195,9,,,,,
1300,,,,,,2.08549,1.26818,0.817307,0.825065,0.689216
1400,2.10852,0.82298,0.687132,0.00021,9,,,,,
1400,,,,,,2.08862,1.27993,0.808693,0.820634,0.694386
1500,2.10886,0.824946,0.687173,0.000225,10,,,,,
1500,,,,,,2.07613,1.2697,0.806426,0.827394,0.695535
